QueryResult

# Config entry for catalogue:
serv_type: local
symbol: {PA A_I B_I AREA} {ellipse white {double($B_I)/double($A_I)} {($PA)} {} {}} {{sqrt(7.0*$AREA*double($B_I)/(22.0*double($A_I)))} {}}
# End config entry

# CURSA extensions for info and readability:
#column-units: none 	DEGREES{IHMS.3}	DEGREES{+IDMS.2}	mas/yr          	mas/yr          	mas/yr          	mas/yr          	magnitude       	magnitude       	magnitude       	magnitude       	pixels          	0.01 micron     	0.01 micron     	degrees         	                	sigma           	                	                
#column-types: INTEGER	DOUBLE	DOUBLE	REAL	REAL	REAL	REAL	REAL	REAL	REAL	REAL	INTEGER	INTEGER	INTEGER	INTEGER	INTEGER	REAL	INTEGER	INTEGER
#column-formats: I6	F11.7	F11.7	E12.4	E12.4	E12.4	E12.4	F7.3 	F7.3 	F7.3 	F7.3 	I9   	I7   	I7   	I3   	I2   	F8.3 	I6   	I10  

id	ra	dec	MU_ACOSD	MU_D	SIGMU_A	SIGMU_D	B_J	R_1	R_2	I	AREA	A_I	B_I	PA	CLASS	N_0_1	BLEND	QUALITY
000085	 11.1807563	 61.3336457	  0.2918E+02	 -0.4005E+02	  0.5203E+02	  0.5224E+02	   22.186	   99.999	   20.651	   19.934	       19	   2721	   2141	 98	 2	   1.209	     0	         0
000086	 10.9303863	 61.3338159	  0.8716E+02	  0.6676E+02	  0.5852E+01	  0.5857E+01	   21.505	   99.999	   20.124	   18.733	       41	   4091	   2861	133	 1	   2.903	     1	         0
000087	 11.0615186	 61.3338749	  0.9999E+09	  0.9999E+09	  0.9999E+09	  0.9999E+09	   99.999	   99.999	   99.999	   20.751	        8	   2104	   1291	 83	 2	   0.610	     0	         0
000088	 11.2290629	 61.3339700	  0.1229E+01	  0.5561E+01	  0.4143E+01	  0.4052E+01	   20.504	   18.667	   18.787	   17.778	       61	   3784	   3410	 45	 2	  -0.565	     0	         0
000089	 11.0329292	 61.3339763	 -0.4226E+01	 -0.3509E+01	  0.8129E+01	  0.8231E+01	   21.551	   19.508	   19.959	   18.538	       46	   4196	   2945	 15	 1	   2.911	     0	         0
000090	 10.8304602	 61.3340021	  0.9999E+09	  0.9999E+09	  0.9999E+09	  0.9999E+09	   99.999	   99.999	   99.999	   20.119	       10	   3604	   1056	159	 1	   1.253	     0	         0
000091	 11.3069548	 61.3340095	 -0.2052E-01	  0.1172E+02	  0.6963E+01	  0.6906E+01	   21.852	   20.432	   19.608	   19.272	       31	   3154	   2739	170	 2	   1.373	     0	         0
000092	 10.9195316	 61.3340124	  0.9999E+09	  0.9999E+09	  0.9999E+09	  0.9999E+09	   99.999	   99.999	   99.999	   20.624	       10	   2658	   1285	 27	 2	   1.291	     0	         0
000093	 10.9834835	 61.3341711	  0.1605E+02	  0.5756E+02	  0.8586E+01	  0.8688E+01	   21.038	   19.938	   20.589	   18.926	       40	   4609	   3090	 18	 1	   4.987	     1	         0
000094	 11.2551749	 61.3341923	  0.1696E+02	  0.3893E+01	  0.7496E+01	  0.7479E+01	   21.436	   20.616	   19.876	   19.123	       30	   3853	   2349	126	 1	   3.045	     0	         0
000095	 11.3006574	 61.3342003	  0.1047E+01	 -0.3217E+00	  0.3460E+01	  0.3356E+01	   19.128	   18.100	   17.944	   17.405	       83	   4133	   3992	  5	 2	  -0.048	     0	         0
000096	 10.9401805	 61.3342989	 -0.1077E+02	  0.8815E+01	  0.9075E+01	  0.9266E+01	   99.999	   20.354	   20.150	   19.008	       33	   4116	   2518	 99	 1	   3.879	     0	         0
000097	 10.8011041	 61.3343860	  0.9999E+09	  0.9999E+09	  0.9999E+09	  0.9999E+09	   99.999	   99.999	   99.999	   20.518	        8	   2549	    984	168	 1	  -1.292	     0	         0
