,DEGREES{IHMS.3},DEGREES{+IDMS.2},mas/yr          ,mas/yr          ,mas/yr          ,mas/yr          ,magnitude       ,magnitude       ,magnitude       ,magnitude       ,pixels          ,0.01 micron     ,0.01 micron     ,degrees         ,                ,sigma           ,                ,                
,DOUBLE,DOUBLE,REAL,REAL,REAL,REAL,REAL,REAL,REAL,REAL,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,REAL,INTEGER,INTEGER
,F11.7,F11.7,E12.4,E12.4,E12.4,E12.4,F7.3 ,F7.3 ,F7.3 ,F7.3 ,I9   ,I7   ,I7   ,I3   ,I2   ,F8.3 ,I6   ,I10  
id,ra,dec,MU_ACOSD,MU_D,SIGMU_A,SIGMU_D,B_J,R_1,R_2,I,AREA,A_I,B_I,PA,CLASS,N_0_1,BLEND,QUALITY
147,11.3019374,61.340461,27.27,227.2,95.52,98.13,99.999,99.999,20.648,20.593,8,1945,1251,74,2,-1.306,0,0
148,11.3123865,61.3404662,-7.696,1.654,7.054,7.024,21.434,20.434,20.735,19.598,23,2779,2318,87,2,0.756,0,0
149,11.0229442,61.3405756,36.73,3.569,7.053,4.201,11.833,10.155,9.725,9.419,1153,16096,15051,83,2,0.856,0,0
150,11.211971,61.3406616,-285.5,227.3,105.5,108.1,99.999,99.999,20.814,19.6,12,2872,1471,72,1,3.581,0,0
151,11.1698546,61.340673,-2.875,-2.802,7.83,7.765,99.999,20.818,20.678,19.224,27,3266,2738,150,1,2.544,0,0
152,11.040565,61.340763,37.38,-15.94,9.18,9.392,99.999,20.147,99.999,20.356,12,2656,1375,41,2,0.068,0,0
153,11.0512077,61.340771,999900000,999900000,999900000,999900000,99.999,99.999,99.999,20.692,8,2203,1226,147,2,-0.656,0,0
154,11.0562732,61.3408426,268.9,-92.92,99.95,100.7,99.999,99.999,21.485,19.336,25,4431,1982,141,1,4.434,0,0
155,10.8913633,61.3408449,-8.154,-9.551,7.48,7.411,21.913,20.593,20.524,19.391,23,3738,1920,40,1,2.834,0,0
156,11.1959557,61.3409647,-3.453,7.351,5.998,5.891,20.905,19.721,19.858,18.704,46,3389,3205,106,2,1.094,0,0
157,11.2235304,61.3409693,0.834,-11.7,7.052,7.145,20.787,18.888,19.231,18.158,59,3908,3344,176,2,1.537,1,0
158,10.9564445,61.3410277,999900000,999900000,999900000,999900000,99.999,99.999,99.999,20.717,9,2469,1301,172,2,1.325,0,0
159,11.0042268,61.3410649,394.5,428.1,105.2,107.4,99.999,99.999,20.827,19.483,17,3741,1518,7,1,4.56,0,0
160,10.8265148,61.3412196,-2.411,-6.03,5.728,5.683,21.611,19.647,19.647,18.272,58,3888,3537,101,2,1.58,0,0
161,10.8666625,61.3415073,1.624,7.59,6.313,6.216,21.489,19.847,19.958,19.023,35,3176,2676,173,2,0.232,0,0
162,10.8163093,61.3415353,-59.08,101.7,58.15,59.49,21.989,99.999,20.501,20.078,15,2337,1623,62,2,-1.413,0,0
163,10.9192824,61.3416287,-71.97,24.84,106.8,109.4,99.999,99.999,20.499,20.365,8,1757,1232,135,4,-2.967,0,0
164,10.8099575,61.3418447,-41.84,-33.48,8.909,9.066,99.999,19.905,20.539,19.043,32,5919,2176,47,1,7.418,0,0
165,11.1882672,61.3419141,0.9339,-2.508,3.403,3.251,19.45,18.078,17.655,16.797,106,4915,4499,119,2,1.556,0,0
166,10.975662,61.3419519,176,284.3,99.22,101.1,99.999,99.999,20.404,19.424,23,4013,2032,36,1,4.596,0,0
167,11.148222,61.342192,-245.7,24.94,96.26,97.75,99.999,99.999,20.401,18.959,35,3614,2650,14,1,3.298,0,0
168,11.2233374,61.3422939,-8.505,65.58,7.575,7.681,99.999,99.999,21.245,20.066,18,2667,2220,46,2,1.587,2,0
169,10.9702585,61.3423684,0.9548,-0.429,5.75,5.695,21.187,19.609,19.685,18.522,49,3375,3315,11,2,0.771,0,0
170,10.9582069,61.3424154,999900000,999900000,999900000,999900000,99.999,99.999,99.999,19.702,15,2851,1627,137,1,2.398,0,0
